aid,attribute
409,WOS:000209496800219
410,WOS:000209496800308
411,WOS:000209496800416
412,WOS:000209496800572
413,WOS:000209496900218
414,WOS:000209496900227
415,WOS:000209496901157
416,WOS:000209496902253
417,WOS:000209496903059
418,WOS:000209496903073
419,WOS:000209497400405
420,WOS:000209501300367
421,WOS:000209506600365
422,WOS:000209510500003
423,WOS:000209512000006
424,WOS:000209514500003
425,WOS:000209514600004
426,WOS:000209514700007
427,WOS:000209515200001
428,WOS:000209523300006
429,WOS:000209523300008
430,WOS:000209523600001
431,WOS:000209528900002
432,WOS:000209528900061
433,WOS:000209535900004
434,WOS:000209535900005
435,WOS:000209536600002
436,WOS:000209547400091
437,WOS:000209547600059
438,WOS:000209547600061
439,WOS:000209547600062
440,WOS:000209547600075
441,WOS:000209547600097
442,WOS:000209547600149
443,WOS:000209547600175
444,WOS:000209547600177
445,WOS:000209548400069
446,WOS:000209548400127
447,WOS:000209548400404
448,WOS:000209548400474
449,WOS:000209553800017
450,WOS:000209559600026
451,WOS:000209562400035
452,WOS:000209565700023
453,WOS:000209565700031
454,WOS:000209567600003
455,WOS:000209567600010
456,WOS:000209568000008
457,WOS:000209568000009
458,WOS:000209568000010
459,WOS:000209572100009
460,WOS:000209575700003
461,WOS:000209575800002
462,WOS:000209575800004
463,WOS:000209576100006
464,WOS:000209578000010
465,WOS:000209578400002
466,WOS:000209579000003
467,WOS:000209579000009
468,WOS:000209582800003
469,WOS:000209595400001
470,WOS:000209597300001
471,WOS:000209605400027
472,WOS:000209612300001
473,WOS:000209619900003
474,WOS:000209624300004
475,WOS:000209628900004
476,WOS:000209628900006
477,WOS:000209629000101
478,WOS:000209629000123
479,WOS:000209629000182
480,WOS:000209629300065
481,WOS:000209629300104
482,WOS:000209629300229
483,WOS:000209629300256
484,WOS:000209631100011
485,WOS:000209634900007
486,WOS:000209637400042
487,WOS:000209637900018
488,WOS:000209638300013
489,WOS:000209639700008
490,WOS:000209639700018
491,WOS:000209642700010
492,WOS:000209643200008
493,WOS:000209644300004
494,WOS:000209644400007
495,WOS:000209645200018
496,WOS:000209645400017
497,WOS:000209648800007
498,WOS:000209649300015
499,WOS:000209665100059
500,WOS:000209668700017
501,WOS:000209669000005
502,WOS:000209669400006
503,WOS:000209672700009
504,WOS:000209672800002
505,WOS:000209678300013
506,WOS:000209678600079
507,WOS:000209678600091
508,WOS:000209678600093
509,WOS:000209678600113
510,WOS:000209685800006
511,WOS:000209692100005
512,WOS:000209698500015
513,WOS:000209701500031
514,WOS:000209701500106
515,WOS:000209701500159
516,WOS:000209701500231
517,WOS:000209701500340
518,WOS:000209701500365
519,WOS:000209701501146
520,WOS:000209701501203
521,WOS:000209701501221
522,WOS:000209701501356
523,WOS:000209701501416
524,WOS:000209701502111
525,WOS:000209701502432
526,WOS:000209701503015
527,WOS:000209701503193
528,WOS:000209701504057
529,WOS:000209701504065
530,WOS:000209701504152
531,WOS:000209701504397
532,WOS:000209701504493
533,WOS:000209701505056
534,WOS:000209701505292
535,WOS:000209701505307
536,WOS:000209701600020
537,WOS:000209701600232
538,WOS:000209701600244
539,WOS:000209701600369
540,WOS:000209701600391
541,WOS:000209701601069
542,WOS:000209701601210
543,WOS:000209701601341
544,WOS:000209701601345
545,WOS:000209701601380
546,WOS:000209701601384
547,WOS:000209701601390
548,WOS:000209701601421
549,WOS:000209701603040
550,WOS:000209701603050
551,WOS:000209701603084
552,WOS:000209701603387
553,WOS:000209701604099
554,WOS:000209701604294
555,WOS:000209701604309
556,WOS:000209701604372
557,WOS:000209701604374
558,WOS:000209701604455
559,WOS:000209701604465
560,WOS:000209701605033
561,WOS:000209701605077
562,WOS:000209701605098
563,WOS:000209701605286
564,WOS:000209701605381
565,WOS:000209701605403
566,WOS:000209701605445
567,WOS:000209701606126
568,WOS:000209701606129
569,WOS:000209702200001
570,WOS:000209702400097
571,WOS:000209703700029
572,WOS:000209703800036
573,WOS:000209704900026
574,WOS:000209704900275
575,WOS:000209704900282
576,WOS:000209704901203
577,WOS:000209704901373
578,WOS:000209715500001
579,WOS:000209715500020
580,WOS:000209717900003
581,WOS:000209718501036
582,WOS:000209721500006
583,WOS:000209722900007
584,WOS:000209732000012
585,WOS:000209732900003
586,WOS:000209738900004
587,WOS:000209744300001
588,WOS:000209744600002
589,WOS:000209745000011
590,WOS:000209749800001
591,WOS:000209759900010
592,WOS:000209760400417
593,WOS:000209763900001
594,WOS:000209764800005
595,WOS:000209765001114
596,WOS:000209765001196
597,WOS:000209765002150
598,WOS:000209765002172
599,WOS:000209765004210
600,WOS:000209765004226
601,WOS:000209765005197
602,WOS:000209765005249
603,WOS:000209767500006
604,WOS:000209786100002
605,WOS:000209805100289
606,WOS:000209805100293
607,WOS:000209805104214
608,WOS:000209805106068
609,WOS:000209805106070
610,WOS:000209805106288
611,WOS:000209805107014
612,WOS:000209805107199
613,WOS:000209805107202
614,WOS:000209805107212
615,WOS:000209805107284
616,WOS:000209805108198
617,WOS:000209805108237
618,WOS:000209805109078
619,WOS:000209805200011
620,WOS:000209809700002
621,WOS:000209812800001
622,WOS:000209816000504
623,WOS:000209816000804
624,WOS:000209816100170
625,WOS:000209816100516
626,WOS:000209816600010
627,WOS:000209827600108
628,WOS:000209827600133
629,WOS:000209827600185
630,WOS:000209827600195
631,WOS:000209827600202
632,WOS:000209827600214
633,WOS:000209827600273
634,WOS:000209827700011
635,WOS:000209827700026
636,WOS:000209830000031
637,WOS:000209830000038
638,WOS:000209830000106
639,WOS:000209830000200
640,WOS:000209830000203
641,WOS:000209830000209
642,WOS:000209835300006
643,WOS:000209838200165
644,WOS:000209838200254
645,WOS:000209838200316
646,WOS:000209838200556
647,WOS:000209838200598
648,WOS:000209838200644
649,WOS:000209838200709
650,WOS:000209838200736
651,WOS:000209838200745
652,WOS:000209838201442
653,WOS:000209838201489
654,WOS:000209838201624
655,WOS:000209838201657
656,WOS:000209838201759
657,WOS:000209838202043
658,WOS:000209838202102
659,WOS:000209838202202
660,WOS:000209838202237
661,WOS:000209838202238
662,WOS:000209838202565
663,WOS:000209838202607
664,WOS:000209838202754
665,WOS:000209838202764
666,WOS:000209838202796
667,WOS:000209838203262
668,WOS:000209838203404
669,WOS:000209838203803
670,WOS:000209838204044
671,WOS:000209838204151
672,WOS:000209838204251
673,WOS:000209838204285
674,WOS:000209838204286
675,WOS:000209838204335
676,WOS:000209838204339
677,WOS:000209838204434
678,WOS:000209838204442
679,WOS:000209838205318
680,WOS:000209838205407
681,WOS:000209838205417
682,WOS:000209838205418
683,WOS:000209838205419
684,WOS:000209838205423
685,WOS:000209838205437
686,WOS:000209838205577
687,WOS:000209838205625
688,WOS:000209838205726
689,WOS:000209838205768
690,WOS:000209838205806
691,WOS:000209838205813
692,WOS:000209838206025
693,WOS:000209838206106
694,WOS:000209838206150
695,WOS:000209838206329
696,WOS:000209838206330
697,WOS:000209838206415
698,WOS:000209838400047
699,WOS:000209838400082
700,WOS:000209838400327
701,WOS:000209838400730
702,WOS:000209838400740
703,WOS:000209838401185
704,WOS:000209838401243
705,WOS:000209838401390
706,WOS:000209838401457
707,WOS:000209838401475
708,WOS:000209838401477
709,WOS:000209838402735
710,WOS:000209839100105
711,WOS:000209839100161
712,WOS:000209839100273
713,WOS:000209839100383
714,WOS:000209839100694
715,WOS:000209839101062
716,WOS:000209839101129
717,WOS:000209839101362
718,WOS:000209839101579
719,WOS:000209839101611
720,WOS:000209839101616
721,WOS:000209839101652
722,WOS:000209839102365
723,WOS:000209839102393
724,WOS:000209839102576
725,WOS:000209839102669
726,WOS:000209839102684
727,WOS:000209842700052
728,WOS:000209842700417
729,WOS:000209842700486
730,WOS:000209842700487
731,WOS:000209842700491
732,WOS:000209842700648
733,WOS:000209842700651
734,WOS:000209842700783
735,WOS:000209844100078
736,WOS:000209846000010
737,WOS:000209846400067
738,WOS:000209846400189
739,WOS:000209846401033
740,WOS:000209846401046
741,WOS:000209846404039
742,WOS:000209846404444
743,WOS:000209846500049
744,WOS:000209846600126
745,WOS:000209847000004
746,WOS:000209847000005
747,WOS:000209847000009
748,WOS:000209847000023
749,WOS:000209847300018
750,WOS:000209848700012
751,WOS:000209848700037
752,WOS:000209848700112
753,WOS:000209848700177
754,WOS:000209848700188
755,WOS:000209850400040
756,WOS:000209858200001
757,WOS:000209861300590
758,WOS:000209866500001
759,WOS:000209875300001
760,WOS:000209882800002
761,WOS:000209895600008
762,WOS:000209895600018
763,WOS:000209895600027
764,WOS:000209897300009
765,WOS:000209897400054
766,WOS:000209903600012
767,WOS:000209903600023
768,WOS:000209903600034
769,WOS:000209909100023
770,WOS:000209909100026
771,WOS:000209918600004
772,WOS:000209918600005
773,WOS:000209918600025
774,WOS:000209918600040
775,WOS:000209918600042
776,WOS:000209918600043
777,WOS:000209918600045
778,WOS:000209918600046
779,WOS:000209918700019
780,WOS:000209918700022
781,WOS:000209918700049
782,WOS:000209918700053
783,WOS:000209928000077
784,WOS:000209928000109
785,WOS:000209928000113
786,WOS:000209928000114
787,WOS:000209928000159
788,WOS:000209928000308
789,WOS:000209928000309
790,WOS:000209928000310
791,WOS:000209928000311
792,WOS:000209928000409
793,WOS:000209928001220
794,WOS:000209928001222
795,WOS:000209928001236
796,WOS:000209928001239
797,WOS:000209928001262
798,WOS:000209928001417
799,WOS:000209928002096
800,WOS:000209928002147
801,WOS:000209928400014
802,WOS:000209928402114
803,WOS:000209928402125
