nid,aid
1129,16482
1130,23890
1131,48783
1132,11393
1133,5140
1134,35161
1135,14356
1136,11393
1137,45594
1138,17
1139,54531
1140,7534
1141,29190
1142,11393
1143,43163
1144,35161
1145,17
1146,35161
1147,29190
1148,43163
1149,20118
1150,20118
1151,48796
1152,32287
1153,23890
1154,11393
1155,48783
1156,35161
1157,35161
1158,57212
1159,60624
1160,17901
1161,20118
1162,35161
1163,58398
1164,16482
1165,5140
1166,54531
1167,60624
1168,23890
1169,17
1170,22951
1171,32287
1172,42613
1173,35205
1174,22903
1175,40711
1176,23890
1177,58324
1178,56977
1179,35161
1180,17
1181,29190
1182,17
1183,17
1184,17
1185,16482
1186,11393
1187,7627
1188,54531
1189,17901
1190,11393
1191,17901
1192,17
1193,22903
1194,43163
1195,48783
1196,23890
1197,17901
1198,43163
1199,7534
1200,20118
1201,35161
1202,11393
1203,14356
1204,58324
1205,23890
1206,58324
1207,45594
1208,22903
1209,35161
1210,22880
1211,57
1212,23890
1213,17
1214,48783
1215,42613
1216,16482
1217,23890
1218,20118
1219,17
1220,11393
1221,17
1222,43280
1223,7534
1224,14356
1225,35161
1226,23890
1227,45594
1228,54531
1229,40711
1230,35161
1231,45594
1232,7534
1233,57212
1234,20118
1235,23890
1236,56977
1237,35161
1238,35161
1239,45831
1240,29190
1241,17901
1242,20118
1243,54531
1244,40711
1245,11393
1246,7534
1247,20118
1248,43163
1249,14356
1250,17
1251,54531
1252,35161
1253,23890
1254,57212
1255,20118
1256,17901
1257,23890
1258,32287
1259,7534
1260,7534
1261,23890
1262,7534
1263,54531
1264,58324
1265,17
1266,17
1267,35161
1268,35161
1269,7534
1270,16482
1271,54531
1272,35161
1273,20118
1274,29241
1275,56977
1276,22903
1277,24287
1278,17
1279,43276
1280,11393
1281,48783
1282,55590
1283,35161
1284,17
1285,42613
1286,23890
1287,17901
1288,16482
1289,40711
1290,48783
1291,16481
1292,17901
1293,20216
1294,11393
1295,23890
1296,48783
1297,54531
1298,35161
1299,17901
1300,17901
1301,54531
1302,48783
1303,17
1304,11393
1305,17
1306,7534
1307,14356
1308,32287
1309,54601
1310,17
1311,40711
1312,59692
1313,22903
1314,17901
1315,7534
1316,43163
1317,40711
1318,22903
1319,14356
1320,17901
1321,7534
1322,43163
1323,11393
1324,5140
1325,16482
1326,57212
1327,17901
1328,183
1329,40711
1330,48783
1331,23890
1332,23890
1333,62867
1334,23890
1335,43163
1336,5140
1337,48813
1338,57212
1339,40711
1340,45594
1341,35161
1342,35667
1343,35161
1344,40711
1345,32389
1346,17
1347,23961
1348,4657
1348,4480
1349,48783
1350,17
1351,5158
1352,48783
1353,29190
1354,43163
1355,57212
1356,45738
1357,48783
1358,48783
1359,29190
1360,48783
1361,5140
1362,49050
1362,50802
1363,45594
1364,17
1365,48783
1366,11393
1367,48783
1368,35161
1369,17
1370,11393
1371,48783
1372,57212
1373,205
1374,32403
1375,43163
1376,17
1377,54531
1378,45770
1379,48783
1380,35161
1381,17
1382,35161
1383,17901
1384,29190
1385,17915
1386,5140
1387,29190
1388,40711
1389,48783
1390,20118
1391,20118
1392,48924
1393,17
1394,35161
1395,35522
1396,48956
1397,5140
1398,35161
1399,35161
1400,32287
1401,7534
1402,48979
1403,17
1404,11393
1405,40711
1406,35161
1407,32287
1408,17901
1409,17901
1410,35161
1411,5140
1412,48783
1413,40711
1414,17
1415,17901
1416,32287
1417,17901
1418,45594
1419,17901
1420,84
1421,11393
1422,32287
1423,45594
1424,43163
1425,17
1426,16575
1427,35161
1428,17993
1429,16482
1430,17
1431,11393
1432,32287
1433,48783
1434,17901
1435,35161
1436,16553
1437,16482
1438,17
1439,16482
1440,236
1441,18017
1442,45594
1443,48783
1444,35161
1445,45594
1446,7534
1447,17901
1448,7534
1449,14356
1450,48783
1451,14356
1452,35161
1453,17
1454,48783
1455,11393
1456,43163
1457,45594
1458,48783
1459,48783
1460,45599
1461,32287
1462,11393
1463,40711
1464,54680
1465,48783
1466,40711
1467,17
