nid,aid
920,45211
921,51912
922,56459
923,58336
924,60948
925,61055
926,70287
927,27045
928,6833
929,11893
930,17777
931,31785
932,16040
933,49205
934,61548
935,73436
936,1701
937,12901
938,14421
939,16992
940,17176
941,18020
942,18124
943,25453
944,47952
945,47977
946,49618
947,56050
948,62120
949,72882
950,78295
951,2941
952,19791
953,24497
954,30123
955,43292
956,48821
957,51253
958,58309
959,27730
960,35392
961,65628
962,74786
963,75399
964,76860
965,78755
966,82637
967,20053
968,31388
969,41787
970,60385
971,7880
972,14128
973,14128
974,36961
975,45208
976,45208
977,51167
978,76557
979,82989
980,82989
981,85007
982,85029
983,3821
984,5321
985,31032
986,45168
987,48521
988,62917
989,86353
990,86734
991,4386
992,12842
993,29216
994,29223
995,67926
996,44713
997,61331
998,61587
999,62686
1000,3090
1001,41701
1002,21513
1003,37606
1004,46698
1005,50931
1006,53340
1007,77816
1008,4163
1009,49819
1010,55651
1011,64179
1012,24943
1013,4025
1014,37972
1015,4414
1016,47679
1017,63254
1018,37594
1019,53755
1020,54166
1021,64235
1022,77813
1023,21978
1024,24238
1025,32154
1026,38417
1027,39978
1028,41460
1029,43942
1030,44607
1031,45480
1032,47452
1033,59840
1034,79425
1035,79428
1036,83606
1037,41440
1038,79557
1039,7578
1040,14610
1041,16225
1042,18701
1043,19076
1044,23611
1045,24122
1046,24641
1047,26944
1048,28642
1049,29968
1050,87183
1051,36595
1052,45911
1053,47987
1054,51956
1055,55073
1056,63771
1057,66272
1058,4850
1059,7108
1060,7887
1061,8652
1062,11646
1063,13905
1064,17243
1065,17365
1066,20332
1067,25256
1068,87060
1069,31499
1070,52043
1071,52214
1072,54834
1073,55582
1074,56740
1075,58334
1076,67158
1077,67632
1078,72290
1079,81279
1080,85723
1081,884
1082,2749
1083,8588
1084,8786
1085,10694
1086,13607
1087,15773
1088,21056
1089,25460
1090,27675
1091,28961
1092,28985
1093,37368
1094,44231
1095,80568
1096,6442
1097,6464
1098,9186
1099,9696
1100,10623
1101,13953
1102,14370
1103,15772
1104,19154
1105,22295
1106,24165
1107,27332
1108,29740
1109,35582
1110,42716
1111,45008
1112,52158
1113,60244
1114,70706
1115,73249
1116,79179
1117,80867
1118,82160
1119,79155
1120,7222
1121,12099
1122,21911
1123,33238
1124,33784
1125,37476
1126,40340
1127,51381
1128,57842
1129,64027
1130,67857
1131,68890
1132,73734
1133,84518
1134,4061
1135,19951
1136,21198
1137,25044
1138,30759
1139,32735
1140,32854
1141,34091
1142,40447
1143,42038
1144,51360
1145,51525
1146,57294
1147,58274
1148,58829
1149,60821
1150,64553
1151,69383
1152,73196
1153,74306
1154,77290
1155,77672
1156,83306
1157,9282
1158,14179
1159,23032
1160,25314
1161,27607
1162,27647
1163,975
1164,34064
1165,38405
1166,42021
1167,42467
1168,45534
1169,56314
1170,56390
1171,60010
1172,61775
1173,49066
1174,3936
1175,5942
1176,6679
1177,6683
1178,6684
1179,7319
1180,7630
1181,9485
1182,11455
1183,11959
1184,12209
1185,16158
1186,17471
1187,58991
1188,20714
1189,21861
1190,21878
1191,25308
1192,27646
1193,28836
1194,31012
1195,31314
1196,32504
1197,33024
1198,38747
1199,40368
1200,40536
1201,41826
1202,42251
1203,42889
1204,43652
1205,44861
1206,46036
1207,48361
1208,48730
1209,48793
1210,51057
1211,51525
1212,52458
1213,54236
1214,55004
1215,56297
1216,56317
1217,57332
1218,60240
1219,60457
1220,61209
1221,63928
1222,14947
1223,65084
1224,66043
1225,66246
1226,67639
1227,69357
1228,69507
1229,70342
1230,74333
1231,82927
1232,84459
1233,8586
1234,22832
1235,23051
1236,27569
1237,28962
1238,29642
1239,34066
1240,38563
1241,38816
1242,40091
1243,59733
1244,60841
1245,63968
1246,68044
1247,69103
1248,69283
1249,69296
1250,69357
1251,69699
1252,70149
1253,71718
1254,73020
1255,73922
1256,74344
1257,77595
1258,80926
1259,5900
1260,6276
1261,7307
1262,8865
1263,14790
1264,17942
1265,19277
1266,19932
1267,24297
1268,31152
1269,31356
1270,32284
1271,32534
1272,32919
1273,32969
1274,34125
1275,35199
1276,38723
1277,41077
1278,41404
1279,58985
1280,49226
1281,53730
1282,53730
1283,55712
1284,56385
1285,56670
1286,57939
1287,62965
1288,63987
1289,63988
1290,65732
1291,69197
1292,69572
1293,72128
1294,78983
1295,82741
1296,83264
1297,83416
1298,86184
1299,2641
1300,17730
1301,27840
1302,39342
1303,42971
1304,46435
1305,48885
1306,48885
1307,56361
1308,29729
1309,51374
1310,58640
1311,68304
1312,3960
1313,23470
1314,25300
1315,25663
1316,40950
1317,48468
1318,58838
1319,58933
1320,7050
1321,31546
1322,33610
1323,34594
1324,63262
1325,71924
1326,81756
1327,81757
1328,86755
1329,7114
1330,17060
1331,52787
1332,58521
1333,75992
1334,38333
1335,63434
1336,79776
1337,7352
1338,7803
1339,19547
1340,31039
1341,38809
1342,50845
1343,52353
1344,55915
1345,67452
