nid,aid
1187,5995
1188,5995
1189,5995
1190,5995
1191,5995
1192,5995
1193,5995
1194,5995
1195,5995
1196,5995
1197,5995
1198,5995
1199,5995
1200,5995
1201,5995
1202,5995
1203,5995
1204,5995
1205,5995
1206,5995
1207,5995
1208,5995
1209,5995
1210,5995
1211,5995
1212,5995
1213,5995
1214,5995
1215,5995
1216,5995
1217,5995
1218,5995
1219,5995
1220,5995
1221,5995
1222,5995
1223,5995
1224,5995
1225,5995
1226,5995
1227,5995
1228,5995
1229,5995
1230,5995
1231,5995
1232,5995
1233,25911
1234,25911
1235,25911
1236,25911
1237,25911
1238,25911
1239,25911
1240,25911
1241,25911
1242,25911
1243,25911
1244,25911
1245,25911
1246,25911
1247,25911
1248,25911
1249,25911
1250,25911
1251,25911
1252,25911
1253,25911
1253,26189
1254,25911
1255,25911
1256,25911
1257,25911
1258,25911
1259,26198
1260,26198
1261,26198
1262,26198
1263,26198
1264,26198
1265,26198
1266,26198
1267,26198
1268,26198
1268,3147
1269,26198
1270,26198
1270,3147
1271,26198
1271,3147
1272,26198
1273,26198
1274,26198
1275,26198
1276,26198
1276,16325
1277,26198
1278,26198
1278,3147
1279,26198
1280,26198
1281,26198
1282,26198
1283,26198
1284,26198
1285,26198
1286,26198
1287,26198
1288,26198
1289,26198
1290,26198
1291,26198
1292,26198
1293,26198
1294,26198
1295,26198
1296,26198
1297,26198
1298,26198
1299,12139
1300,12139
1301,12139
1302,12139
1303,12139
1304,12139
1305,12139
1306,12139
1307,12139
1308,25122
1309,25122
1310,25122
1311,25122
1312,26156
1313,26156
1314,26156
1315,26156
1316,26156
1317,26156
1318,26156
1319,26156
1320,13301
1321,13301
1322,13301
1323,13301
1323,12150
1324,13301
1325,13301
1326,13301
1327,13301
1327,7497
1328,13301
1329,12150
1330,12150
1331,12150
1332,12150
1333,12150
1334,25542
1335,25542
1336,25542
1337,19137
1338,19137
1339,19137
1340,19137
1341,19137
1342,19137
1343,19137
1344,19137
1345,19137
1346,19137
1347,19137
1348,25544
1349,25544
1350,25544
1351,25544
1352,25544
1353,25544
1354,25544
1355,25544
1356,25544
1357,21137
1358,21137
1359,21137
1360,21137
1361,21137
1362,21137
1363,21137
1364,21137
1365,21137
1366,21137
1367,21137
1368,21137
1369,2388
1370,2388
1371,2388
1372,2388
1373,2388
1373,3147
1374,2388
1375,2388
1376,2388
1377,23571
1378,23571
1379,23571
1380,23571
1380,23573
1381,23571
1382,23571
1382,28196
1383,23571
1384,23571
1385,23571
1386,23571
1387,23571
1388,23571
1357,23573
1389,23573
1390,12269
1390,21981
1391,12269
1392,12269
1392,12665
1393,12269
1393,21981
1394,12269
1395,12269
1396,12269
1397,12269
1397,12680
1398,12269
1399,12718
1400,12718
1400,25206
1401,12718
1401,25206
1401,3147
1402,12718
1402,25206
1403,12718
1404,12718
1404,19644
1405,12718
1405,19644
1405,3147
1406,12718
1406,25206
1407,12718
1408,12718
1408,19644
1409,12718
1409,19644
1410,12718
1411,12718
1412,12718
1412,25206
1413,12718
1414,12718
1414,25206
1415,12718
1415,25206
1416,12718
1417,12718
1417,25206
1418,12718
1418,25206
1419,12718
1420,12718
1421,12718
1421,25249
1422,12718
1422,25249
1423,12718
1423,25249
